what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1334104576161
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1334104576161
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1334104576162
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1334104576164
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1334104576164
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1334104576165
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1334104576166
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1334104576167
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1334104576168
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1334104576169
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1334104576170
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1334104576171
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1334104576172
started,bundle,it.baeyens.avreclipse.core,1.0.6,"it.baeyens.avreclipse.core",1334104576173
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1334104576174
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1334104576175
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1334104576176
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1334104576180
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1334104576181
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1334104576181
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1334104576181
started,bundle,it.baeyens.arduino.common,1.1.0.6,"it.baeyens.arduino.common",1334104576182
os,sysinfo,,,"win32",1334104576187
arch,sysinfo,,,"x86",1334104576187
ws,sysinfo,,,"win32",1334104576187
locale,sysinfo,,,"en_US",1334104576187
processors,sysinfo,,,"2",1334104576187
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334104576187
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1334104576187
java.specification.name,sysinfo,,,"Java Platform API Specification",1334104576187
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334104576187
java.specification.version,sysinfo,,,"1.6",1334104576187
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1334104576187
java.version,sysinfo,,,"1.6.0_31",1334104576187
java.vm.info,sysinfo,,,"mixed mode, sharing",1334104576187
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1334104576187
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334104576187
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334104576187
java.vm.specification.version,sysinfo,,,"1.0",1334104576187
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1334104576187
java.vm.version,sysinfo,,,"20.6-b01",1334104576187
